,Element,Wavelength,n,k
0,Ag,0.1879,1.07,1.212
1,Ag,0.1916,1.1,1.232
2,Ag,0.1953,1.12,1.255
3,Ag,0.1993,1.14,1.277
4,Ag,0.2033,1.15,1.296
5,Ag,0.2073,1.18,1.312
6,Ag,0.2119,1.2,1.325
7,Ag,0.2164,1.22,1.336
8,Ag,0.2214,1.25,1.342
9,Ag,0.2262,1.26,1.344
10,Ag,0.2313,1.28,1.357
11,Ag,0.2371,1.28,1.367
12,Ag,0.2426,1.3,1.378
13,Ag,0.249,1.31,1.389
14,Ag,0.2551,1.33,1.393
15,Ag,0.2616,1.35,1.387
16,Ag,0.2689,1.38,1.372
17,Ag,0.2761,1.41,1.331
18,Ag,0.2844,1.41,1.264
19,Ag,0.2924,1.39,1.161
20,Ag,0.3009,1.34,0.964
21,Ag,0.3107,1.13,0.616
22,Ag,0.3204,0.81,0.392
23,Ag,0.3315,0.17,0.829
24,Ag,0.3425,0.14,1.142
25,Ag,0.3542,0.1,1.419
26,Ag,0.3679,0.07,1.657
27,Ag,0.3815,0.05,1.864
28,Ag,0.3974,0.05,2.07
29,Ag,0.4133,0.05,2.275
30,Ag,0.4305,0.04,2.462
31,Ag,0.4509,0.04,2.657
32,Ag,0.4714,0.05,2.869
33,Ag,0.4959,0.05,3.093
34,Ag,0.5209,0.05,3.324
35,Ag,0.5486,0.06,3.586
36,Ag,0.5821,0.05,3.858
37,Ag,0.6168,0.06,4.152
38,Ag,0.6595,0.05,4.483
39,Ag,0.7045,0.04,4.838
40,Ag,0.756,0.03,5.242
41,Ag,0.8211,0.04,5.727
42,Ag,0.892,0.04,6.312
43,Ag,0.984,0.04,6.992
44,Ag,1.088,0.04,7.795
45,Ag,1.216,0.09,8.828
46,Ag,1.393,0.13,10.1
47,Ag,1.61,0.15,11.85
48,Ag,1.937,0.24,14.08
49,Ag2,0.27,1.364,1.318
50,Ag2,0.28,1.477,1.24
51,Ag2,0.29,1.531,1.168
52,Ag2,0.3,1.609,0.9126
53,Ag2,0.31,1.373,0.5192
54,Ag2,0.32,0.8191,0.3334
55,Ag2,0.33,0.2207,0.6779
56,Ag2,0.34,0.1109,1.084
57,Ag2,0.35,0.08443,1.341
58,Ag2,0.36,0.07339,1.536
59,Ag2,0.3699,0.06727,1.699
60,Ag2,0.3799,0.06325,1.841
61,Ag2,0.3899,0.06035,1.971
62,Ag2,0.3999,0.05817,2.09
63,Ag2,0.4099,0.05647,2.203
64,Ag2,0.4199,0.05515,2.31
65,Ag2,0.4299,0.05411,2.413
66,Ag2,0.4399,0.05332,2.513
67,Ag2,0.4499,0.05271,2.609
68,Ag2,0.4599,0.05227,2.703
69,Ag2,0.4699,0.05198,2.795
70,Ag2,0.4799,0.05181,2.886
71,Ag2,0.4899,0.05175,2.974
72,Ag2,0.4999,0.0518,3.062
73,Ag2,0.5099,0.05193,3.148
74,Ag2,0.5199,0.05215,3.233
75,Ag2,0.5299,0.05245,3.318
76,Ag2,0.5399,0.05282,3.401
77,Ag2,0.5499,0.05326,3.484
78,Ag2,0.5599,0.05376,3.566
79,Ag2,0.5699,0.05431,3.648
80,Ag2,0.5799,0.05493,3.728
81,Ag2,0.5899,0.0556,3.809
82,Ag2,0.5999,0.05632,3.889
83,Ag2,0.6099,0.05709,3.968
84,Ag2,0.6199,0.0579,4.048
85,Ag2,0.6299,0.05876,4.126
86,Ag2,0.6399,0.05966,4.205
87,Ag2,0.6499,0.06061,4.283
88,Ag2,0.6599,0.06159,4.361
89,Ag2,0.6699,0.06262,4.438
90,Ag2,0.6799,0.06368,4.516
91,Ag2,0.6899,0.06478,4.593
92,Ag2,0.6999,0.06591,4.669
93,Ag2,0.7099,0.06708,4.746
94,Ag2,0.7199,0.06829,4.823
95,Ag2,0.7299,0.06953,4.899
96,Ag2,0.7399,0.0708,4.975
97,Ag2,0.7499,0.0721,5.051
98,Ag2,0.7599,0.07344,5.126
99,Ag2,0.7699,0.0748,5.202
100,Ag2,0.7799,0.0762,5.278
101,Ag2,0.7899,0.07762,5.353
102,Ag2,0.7999,0.07908,5.428
103,Ag2,0.8099,0.08057,5.503
104,Ag2,0.8199,0.08208,5.578
105,Ag2,0.8299,0.08362,5.653
106,Ag2,0.8399,0.08519,5.728
107,Ag2,0.8499,0.08679,5.802
108,Ag2,0.8599,0.08841,5.877
109,Ag2,0.8699,0.09007,5.951
110,Ag2,0.8799,0.09174,6.026
111,Ag2,0.8899,0.09345,6.1
112,Ag2,0.8999,0.09518,6.174
113,Ag2,0.9099,0.09694,6.248
114,Ag2,0.9199,0.09872,6.322
115,Ag2,0.9299,0.1005,6.396
116,Ag2,0.9399,0.1024,6.47
117,Ag2,0.9499,0.1042,6.544
118,Ag2,0.9599,0.1061,6.618
119,Ag2,0.9698,0.108,6.691
120,Ag2,0.9799,0.11,6.765
121,Ag2,0.9899,0.1119,6.838
122,Ag2,0.9999,0.1139,6.912
123,Ag2,1.01,0.1159,6.985
124,Ag2,1.02,0.1179,7.059
125,Ag2,1.03,0.12,7.132
126,Ag2,1.04,0.1221,7.206
127,Ag2,1.05,0.1242,7.279
128,Ag2,1.06,0.1263,7.352
129,Ag2,1.07,0.1285,7.425
130,Ag2,1.08,0.1306,7.498
131,Ag2,1.09,0.1328,7.571
132,Ag2,1.1,0.1351,7.645
133,Ag2,1.11,0.1373,7.718
134,Ag2,1.12,0.1396,7.791
135,Ag2,1.13,0.1419,7.863
136,Ag2,1.14,0.1442,7.936
137,Ag2,1.15,0.1465,8.009
138,Ag2,1.16,0.1489,8.082
139,Ag2,1.17,0.1513,8.155
140,Ag2,1.18,0.1537,8.228
141,Ag2,1.19,0.1561,8.3
142,Ag2,1.2,0.1585,8.373
143,Ag2,1.21,0.161,8.446
144,Ag2,1.22,0.1635,8.518
145,Ag2,1.23,0.166,8.591
146,Ag2,1.24,0.1686,8.664
147,Ag2,1.25,0.1711,8.736
148,Ag2,1.26,0.1737,8.809
149,Ag2,1.268,0.1759,8.869
150,Ag2,1.27,0.1763,8.881
151,Ag2,1.278,0.1785,8.942
152,Ag2,1.28,0.179,8.954
153,Ag2,1.288,0.1812,9.015
154,Ag2,1.29,0.1816,9.026
155,Ag2,1.299,0.184,9.09
156,Ag2,1.3,0.1843,9.099
157,Ag2,1.309,0.1868,9.166
158,Ag2,1.31,0.187,9.171
159,Ag2,1.32,0.1897,9.243
160,Ag2,1.328,0.1919,9.302
161,Ag2,1.33,0.1924,9.316
162,Ag2,1.339,0.1949,9.381
163,Ag2,1.34,0.1952,9.388
164,Ag2,1.347,0.1973,9.442
165,Ag2,1.35,0.198,9.46
166,Ag2,1.359,0.2004,9.524
167,Ag2,1.367,0.2029,9.586
168,Ag2,1.379,0.2062,9.67
169,Ag2,1.388,0.2087,9.734
170,Ag2,1.4,0.2122,9.82
171,Ag2,1.409,0.2148,9.886
172,Ag2,1.418,0.2176,9.953
173,Ag2,1.427,0.2203,10.02
174,Ag2,1.43,0.221,10.04
175,Ag2,1.437,0.2231,10.09
176,Ag2,1.44,0.224,10.11
177,Ag2,1.45,0.227,10.18
178,Ag2,1.46,0.2301,10.26
179,Ag2,1.469,0.233,10.32
180,Ag2,1.47,0.2331,10.33
181,Ag2,1.48,0.2362,10.4
182,Ag2,1.49,0.2393,10.47
183,Ag2,1.497,0.2414,10.52
184,Ag2,1.5,0.2424,10.54
185,Ag2,1.507,0.2446,10.6
186,Ag2,1.51,0.2455,10.62
187,Ag2,1.518,0.248,10.67
188,Ag2,1.52,0.2487,10.69
189,Ag2,1.528,0.2514,10.75
190,Ag2,1.53,0.2518,10.76
191,Ag2,1.539,0.2549,10.83
192,Ag2,1.54,0.255,10.83
193,Ag2,1.547,0.2572,10.88
194,Ag2,1.55,0.2582,10.9
195,Ag2,1.558,0.2608,10.96
196,Ag2,1.56,0.2615,10.98
197,Ag2,1.569,0.2645,11.04
198,Ag2,1.57,0.2647,11.05
199,Ag2,1.577,0.267,11.1
200,Ag2,1.58,0.268,11.12
201,Ag2,1.588,0.2708,11.18
202,Ag2,1.59,0.2713,11.19
203,Ag2,1.596,0.2734,11.24
204,Ag2,1.6,0.2747,11.26
205,Ag2,1.608,0.2774,11.32
206,Ag2,1.61,0.278,11.34
207,Ag2,1.616,0.2801,11.38
208,Ag2,1.62,0.2814,11.41
209,Ag2,1.628,0.2842,11.47
210,Ag2,1.63,0.2848,11.48
211,Ag2,1.636,0.287,11.53
212,Ag2,1.64,0.2882,11.55
213,Ag2,1.649,0.2913,11.62
214,Ag2,1.65,0.2916,11.62
215,Ag2,1.657,0.2942,11.68
216,Ag2,1.66,0.2951,11.69
217,Ag2,1.666,0.2972,11.74
218,Ag2,1.67,0.2985,11.77
219,Ag2,1.679,0.3017,11.83
220,Ag2,1.68,0.302,11.84
221,Ag2,1.688,0.3048,11.89
222,Ag2,1.69,0.3056,11.91
223,Ag2,1.696,0.3079,11.96
224,Ag2,1.7,0.3091,11.98
225,Ag2,1.705,0.3111,12.02
226,Ag2,1.71,0.3127,12.05
227,Ag2,1.719,0.3159,12.12
228,Ag2,1.72,0.3162,12.13
229,Ag2,1.728,0.3192,12.18
230,Ag2,1.73,0.3198,12.2
231,Ag2,1.737,0.3226,12.25
232,Ag2,1.74,0.3235,12.27
233,Ag2,1.747,0.326,12.32
234,Ag2,1.75,0.3271,12.34
235,Ag2,1.756,0.3295,12.39
236,Ag2,1.76,0.3308,12.41
237,Ag2,1.766,0.333,12.46
238,Ag2,1.77,0.3345,12.48
239,Ag2,1.775,0.3366,12.52
240,Ag2,1.78,0.3382,12.56
241,Ag2,1.785,0.3402,12.59
242,Ag2,1.79,0.3419,12.63
243,Ag2,1.795,0.3439,12.67
244,Ag2,1.8,0.3457,12.7
245,Ag2,1.805,0.3477,12.74
246,Ag2,1.81,0.3494,12.77
247,Ag2,1.815,0.3515,12.81
248,Ag2,1.82,0.3532,12.84
249,Ag2,1.825,0.3554,12.88
250,Ag2,1.83,0.357,12.91
251,Ag2,1.836,0.3593,12.96
252,Ag2,1.84,0.3609,12.99
253,Ag2,1.846,0.3634,13.03
254,Ag2,1.85,0.3647,13.06
255,Ag2,1.857,0.3675,13.11
256,Ag2,1.86,0.3686,13.13
257,Ag2,1.868,0.3716,13.18
258,Ag2,1.87,0.3725,13.2
259,Ag2,1.878,0.3759,13.26
260,Ag2,1.88,0.3764,13.27
261,Ag2,1.889,0.3802,13.34
262,Ag2,1.89,0.3804,13.34
263,Ag2,1.895,0.3824,13.38
264,Ag2,1.9,0.3843,13.42
265,Ag2,1.906,0.3868,13.46
266,Ag2,1.91,0.3883,13.49
267,Ag2,1.917,0.3913,13.54
268,Ag2,1.92,0.3923,13.56
269,Ag2,1.929,0.3959,13.62
270,Ag2,1.93,0.3964,13.63
271,Ag2,1.934,0.3982,13.66
272,Ag2,1.94,0.4004,13.7
273,Ag2,1.946,0.403,13.75
274,Ag2,1.95,0.4045,13.77
275,Ag2,1.958,0.4078,13.83
276,Ag2,1.96,0.4086,13.84
277,Ag2,1.97,0.4127,13.92
278,Ag2,1.976,0.4151,13.96
279,Ag2,1.98,0.4168,13.99
280,Ag2,1.988,0.4202,14.05
281,Ag2,1.99,0.421,14.06
282,Ag2,1.994,0.4227,14.09
283,Ag2,2.006,0.4279,14.18
284,Ag2,2.019,0.4331,14.27
285,Ag2,2.025,0.4358,14.31
286,Ag2,2.038,0.4412,14.4
287,Ag2,2.044,0.444,14.45
288,Ag2,2.057,0.4495,14.54
289,Ag2,2.064,0.4524,14.59
290,Ag2,2.077,0.4581,14.68
291,Ag2,2.084,0.461,14.73
292,Ag2,2.097,0.4669,14.83
293,Ag2,2.104,0.4699,14.88
294,Ag2,2.118,0.476,14.97
295,Ag2,2.125,0.4791,15.02
296,Ag2,2.139,0.4853,15.12
297,Ag2,2.146,0.4885,15.17
298,Ag2,2.153,0.4917,15.23
299,Ag2,2.167,0.4982,15.33
300,Ag2,2.175,0.5015,15.38
301,Ag2,2.189,0.5082,15.48
302,Ag2,2.197,0.5116,15.54
303,Ag2,2.204,0.5151,15.59
304,Ag2,2.219,0.5221,15.7
305,Ag2,2.227,0.5256,15.75
306,Ag2,2.235,0.5292,15.81
307,Ag2,2.242,0.5328,15.86
308,Ag2,2.258,0.5402,15.97
309,Ag2,2.266,0.5439,16.03
310,Ag2,2.274,0.5477,16.09
311,Ag2,2.282,0.5515,16.14
312,Ag2,2.298,0.5593,16.26
313,Ag2,2.306,0.5632,16.32
314,Ag2,2.314,0.5672,16.38
315,Ag2,2.323,0.5712,16.44
316,Ag2,2.339,0.5794,16.56
317,Ag2,2.348,0.5835,16.62
318,Ag2,2.356,0.5877,16.68
319,Ag2,2.365,0.592,16.74
320,Ag2,2.374,0.5963,16.8
321,Ag2,2.382,0.6006,16.86
322,Ag2,2.391,0.605,16.92
323,Ag2,2.409,0.6139,17.05
324,Ag2,2.418,0.6185,17.12
325,Ag2,2.427,0.6231,17.18
326,Ag2,2.436,0.6277,17.24
327,Ag2,2.445,0.6324,17.31
328,Ag2,2.455,0.6372,17.38
329,Ag2,2.464,0.642,17.44
330,Ag2,2.473,0.6468,17.51
331,Ag2,2.483,0.6517,17.58
332,Ag2,2.492,0.6567,17.65
333,Ag2,2.502,0.6617,17.71
334,Ag2,2.512,0.6668,17.78
335,Ag2,2.522,0.672,17.85
336,Ag2,2.531,0.6772,17.92
337,Ag2,2.541,0.6824,17.99
338,Ag2,2.551,0.6878,18.06
339,Ag2,2.561,0.6931,18.14
340,Ag2,2.572,0.6986,18.21
341,Ag2,2.582,0.7041,18.28
342,Ag2,2.592,0.7097,18.35
343,Ag2,2.603,0.7154,18.43
344,Ag2,2.613,0.7211,18.5
345,Ag2,2.624,0.7269,18.58
346,Ag2,2.634,0.7327,18.65
347,Ag2,2.645,0.7387,18.73
348,Ag2,2.656,0.7447,18.81
349,Ag2,2.667,0.7508,18.89
350,Ag2,2.678,0.7569,18.96
351,Ag2,2.689,0.7631,19.04
352,Ag2,2.7,0.7695,19.12
353,Ag2,2.711,0.7758,19.2
354,Ag2,2.723,0.7823,19.28
355,Ag2,2.734,0.7889,19.36
356,Ag2,2.746,0.7955,19.45
357,Ag2,2.758,0.8022,19.53
358,Ag2,2.769,0.809,19.61
359,Ag2,2.781,0.8159,19.7
360,Ag2,2.793,0.8229,19.78
361,Ag2,2.805,0.83,19.87
362,Ag2,2.817,0.8371,19.96
363,Ag2,2.83,0.8444,20.04
364,Ag2,2.842,0.8517,20.13
365,Ag2,2.855,0.8592,20.22
366,Ag2,2.867,0.8667,20.31
367,Ag2,2.88,0.8744,20.4
368,Ag2,2.893,0.8821,20.49
369,Ag2,2.906,0.89,20.58
370,Ag2,2.919,0.8979,20.68
371,Ag2,2.932,0.906,20.77
372,Ag2,2.946,0.9142,20.86
373,Ag2,2.959,0.9225,20.96
374,Ag2,2.973,0.9309,21.06
375,Ag2,2.986,0.9394,21.15
376,Ag2,3.014,0.9568,21.35
377,Ag2,3.028,0.9657,21.45
378,Ag2,3.042,0.9747,21.55
379,Ag2,3.057,0.9838,21.65
380,Ag2,3.071,0.9931,21.75
381,Ag2,3.086,1.003,21.86
382,Ag2,3.101,1.012,21.96
383,Ag2,3.116,1.022,22.07
384,Ag2,3.131,1.031,22.17
385,Ag2,3.146,1.041,22.28
386,Ag2,3.161,1.052,22.39
387,Ag2,3.177,1.062,22.5
388,Ag2,3.192,1.072,22.61
389,Ag2,3.208,1.083,22.72
390,Ag2,3.224,1.093,22.84
391,Ag2,3.24,1.104,22.95
392,Ag2,3.256,1.115,23.07
393,Ag2,3.273,1.126,23.18
394,Ag2,3.289,1.138,23.3
395,Ag2,3.306,1.149,23.42
396,Ag2,3.323,1.161,23.54
397,Ag2,3.34,1.173,23.66
398,Ag2,3.358,1.185,23.78
399,Ag2,3.375,1.197,23.9
400,Ag2,3.393,1.21,24.03
401,Ag2,3.411,1.222,24.16
402,Ag2,3.429,1.235,24.28
403,Ag2,3.447,1.248,24.41
404,Ag2,3.465,1.262,24.54
405,Ag2,3.484,1.275,24.67
406,Ag2,3.503,1.289,24.81
407,Ag2,3.522,1.303,24.94
408,Ag2,3.541,1.317,25.08
409,Ag2,3.561,1.331,25.21
410,Ag2,3.58,1.346,25.35
411,Ag2,3.6,1.361,25.49
412,Ag2,3.62,1.376,25.63
413,Ag2,3.641,1.391,25.78
414,Ag2,3.661,1.407,25.92
415,Ag2,3.682,1.422,26.07
416,Ag2,3.703,1.439,26.22
417,Ag2,3.724,1.455,26.37
418,Ag2,3.746,1.472,26.52
419,Ag2,3.768,1.489,26.67
420,Ag2,3.79,1.506,26.83
421,Ag2,3.812,1.524,26.98
422,Ag2,3.834,1.541,27.14
423,Ag2,3.857,1.56,27.3
424,Ag2,3.88,1.578,27.47
425,Ag2,3.904,1.597,27.63
426,Ag2,3.927,1.616,27.8
427,Ag2,3.951,1.636,27.97
428,Ag2,3.976,1.656,28.14
429,Ag2,4.025,1.697,28.48
430,Ag2,4.05,1.718,28.66
431,Ag2,4.076,1.739,28.84
432,Ag2,4.101,1.761,29.02
433,Ag2,4.128,1.783,29.2
434,Ag2,4.154,1.806,29.39
435,Ag2,4.181,1.829,29.58
436,Ag2,4.208,1.853,29.77
437,Ag2,4.235,1.877,29.96
438,Ag2,4.263,1.901,30.16
439,Ag2,4.292,1.926,30.35
440,Ag2,4.32,1.951,30.56
441,Ag2,4.349,1.977,30.76
442,Ag2,4.379,2.004,30.96
443,Ag2,4.408,2.031,31.17
444,Ag2,4.439,2.059,31.38
445,Ag2,4.469,2.087,31.6
446,Ag2,4.5,2.115,31.82
447,Ag2,4.532,2.145,32.04
448,Ag2,4.564,2.175,32.26
449,Ag2,4.596,2.205,32.49
450,Ag2,4.629,2.236,32.72
451,Ag2,4.662,2.268,32.95
452,Ag2,4.696,2.301,33.18
453,Ag2,4.73,2.334,33.42
454,Ag2,4.765,2.368,33.67
455,Ag2,4.8,2.403,33.91
456,Ag2,4.836,2.438,34.16
457,Ag2,4.872,2.474,34.42
458,Ag2,4.909,2.512,34.67
459,Ag2,4.947,2.55,34.93
460,Ag2,4.985,2.588,35.2
461,Ag2,5.023,2.628,35.47
462,Ag2,5.063,2.669,35.74
463,Ag2,5.103,2.71,36.02
464,Ag2,5.143,2.753,36.3
465,Ag2,5.184,2.796,36.59
466,Ag2,5.226,2.841,36.88
467,Ag2,5.269,2.886,37.17
468,Ag2,5.312,2.933,37.47
469,Ag2,5.356,2.981,37.78
470,Ag2,5.4,3.03,38.09
471,Ag2,5.446,3.08,38.4
472,Ag2,5.492,3.132,38.72
473,Ag2,5.539,3.185,39.05
474,Ag2,5.586,3.239,39.38
475,Ag2,5.635,3.294,39.71
476,Ag2,5.684,3.351,40.05
477,Ag2,5.735,3.41,40.4
478,Ag2,5.786,3.47,40.76
479,Ag2,5.838,3.532,41.12
480,Ag2,5.891,3.595,41.48
481,Ag2,5.945,3.66,41.85
482,Ag2,6.056,3.795,42.62
483,Ag2,6.114,3.865,43.01
484,Ag2,6.172,3.938,43.41
485,Ag2,6.231,4.012,43.82
486,Ag2,6.292,4.089,44.24
487,Ag2,6.353,4.168,44.66
488,Ag2,6.416,4.249,45.09
489,Ag2,6.48,4.332,45.53
490,Ag2,6.546,4.418,45.98
491,Ag2,6.612,4.507,46.44
492,Ag2,6.681,4.598,46.9
493,Ag2,6.75,4.692,47.38
494,Ag2,6.821,4.788,47.86
495,Ag2,6.894,4.888,48.36
496,Ag2,6.968,4.991,48.86
497,Ag2,7.044,5.097,49.38
498,Ag2,7.121,5.207,49.9
499,Ag2,7.2,5.32,50.44
500,Ag2,7.281,5.437,50.99
501,Ag2,7.364,5.557,51.55
502,Ag2,7.449,5.682,52.12
503,Ag2,7.535,5.811,52.71
504,Ag2,7.624,5.944,53.31
505,Ag2,7.715,6.082,53.92
506,Ag2,7.808,6.225,54.54
507,Ag2,7.903,6.373,55.18
508,Ag2,8.001,6.526,55.84
509,Ag2,8.1,6.684,56.51
510,Ag2,8.203,6.848,57.2
511,Ag2,8.308,7.019,57.9
512,Ag2,8.416,7.195,58.62
513,Ag2,8.527,7.379,59.36
514,Ag2,8.641,7.569,60.11
515,Ag2,8.757,7.767,60.89
516,Ag2,8.877,7.972,61.68
517,Ag2,9.001,8.186,62.5
518,Ag2,9.127,8.408,63.33
519,Ag2,9.257,8.639,64.19
520,Ag2,9.392,8.88,65.07
521,Ag2,9.53,9.131,65.98
522,Ag2,9.672,9.393,66.91
523,Ag2,9.819,9.665,67.87
524,Ag2,9.97,9.95,68.85
525,Ag2,10.13,10.25,69.86
526,Ag2,10.29,10.56,70.9
527,Ag2,10.45,10.88,71.97
528,Ag2,10.62,11.22,73.07
529,Ag2,10.8,11.58,74.21
530,Ag2,10.98,11.95,75.38
531,Ag2,11.17,12.34,76.58
532,Ag2,11.37,12.75,77.83
533,Ag2,11.57,13.18,79.11
534,Ag2,11.78,13.63,80.43
535,Ag2,12.23,14.6,83.21
536,Ag2,12.46,15.12,84.67
537,Ag2,12.71,15.67,86.18
538,Ag2,12.96,16.25,87.74
539,Ag2,13.23,16.87,89.36
540,Ag2,13.5,17.52,91.03
541,Ag2,13.79,18.2,92.77
542,Ag2,14.09,18.93,94.57
543,Ag2,14.4,19.7,96.43
544,Ag2,14.73,20.51,98.37
545,Ag2,15.07,21.37,100.4
546,Ag2,15.43,22.29,102.5
547,Ag2,15.81,23.27,104.6
548,Ag2,16.2,24.31,106.9
549,Ag2,16.62,25.41,109.3
550,Ag2,17.05,26.59,111.7
551,Ag2,17.51,27.85,114.3
552,Ag2,18.52,30.65,119.7
553,Ag2,19.06,32.2,122.6
554,Ag2,19.64,33.86,125.6
555,Ag2,20.25,35.65,128.8
556,Ag2,20.9,37.57,132.1
557,Ag2,21.6,39.65,135.6
558,Ag2,22.35,41.89,139.3
559,Ag2,23.14,44.31,143.1
560,Ag2,24.92,49.79,151.4
561,Al,0.00012399,0.9999946,8.241e-08
562,Al,0.00013051,0.999994,1.272e-07
563,Al,0.00013776,0.999993,1.2488e-07
564,Al,0.00015498,0.999991,1.9173e-07
565,Al,0.00017712,0.999989,3.1463e-07
566,Al,0.00020664,0.999984,5.5102e-07
567,Al,0.00024797,0.99998,1.0726e-06
568,Al,0.00030996,0.99997,2.4843e-06
569,Al,0.00035424,0.99995,4.0484e-06
570,Al,0.00041328,0.99994,7.1408e-06
571,Al,0.00049594,0.99991,1.3642e-05
572,Al,0.00061993,0.99987,3.2079e-05
573,Al,0.00065255,0.99986,3.8497e-05
574,Al,0.00068881,0.99985,4.7138e-05
575,Al,0.00072932,0.99984,5.7974e-05
576,Al,0.00074021,0.99984,6.1633e-05
577,Al,0.00077734,0.99986,7.4862e-05
578,Al,0.00078472,0.99987,7.848e-05
579,Al,0.00079274,0.9999,8.5418e-05
580,Al,0.00079376,0.99992,7.1847e-05
581,Al,0.00079478,0.99993,4.9998e-05
582,Al,0.00079529,0.99992,4.1131e-05
583,Al,0.0007958,0.99992,3.2911e-05
584,Al,0.00079785,0.99991,2.3687e-05
585,Al,0.00079887,0.99991,1.1026e-05
586,Al,0.0007999,0.99989,6.0484e-06
587,Al,0.0008051,0.99987,6.1901e-06
588,Al,0.00081569,0.99985,6.4818e-06
589,Al,0.00082657,0.99983,6.8049e-06
590,Al,0.00085507,0.99981,7.8422e-06
591,Al,0.00088561,0.99979,8.94e-06
592,Al,0.00095373,0.99974,1.1636e-05
593,Al,0.0010332,0.99968,1.5628e-05
594,Al,0.0011271,0.99961,2.1586e-05
595,Al,0.0012399,0.99953,3.1115e-05
596,Al,0.0013776,0.9994,4.6771e-05
597,Al,0.0015498,0.99924,7.2992e-05
598,Al,0.0017712,0.99898,0.00011811
599,Al,0.0020664,0.9986,0.00022001
600,Al,0.0024797,0.99797,0.00043503
601,Al,0.0030996,0.99694,0.00096887
602,Al,0.0041328,0.9948,0.0023492
603,Al,0.0049594,0.99313,0.0041863
604,Al,0.0061993,0.99111,0.0075099
605,Al,0.0065255,0.99054,0.0084716
606,Al,0.0068881,0.99007,0.0096517
607,Al,0.0072932,0.98909,0.010987
608,Al,0.0077491,0.98912,0.013728
609,Al,0.0082657,0.98966,0.014773
610,Al,0.0085507,0.98934,0.015437
611,Al,0.0088561,0.98883,0.016304
612,Al,0.0091841,0.98793,0.017765
613,Al,0.0095373,0.98761,0.020606
614,Al,0.0099188,0.98941,0.023421
615,Al,0.010332,0.99139,0.024063
616,Al,0.010781,0.99233,0.024928
617,Al,0.011271,0.99415,0.025452
618,Al,0.011808,0.99285,0.024415
619,Al,0.012399,0.99123,0.02992
620,Al,0.012652,0.99265,0.033061
621,Al,0.012915,0.99652,0.035883
622,Al,0.01319,1.0012,0.035311
623,Al,0.013477,1.0041,0.033392
624,Al,0.013776,1.0058,0.030918
625,Al,0.014089,1.006,0.028956
626,Al,0.014417,1.0065,0.028232
627,Al,0.01476,1.0074,0.026826
628,Al,0.01512,1.0077,0.02546
629,Al,0.015498,1.0075,0.024476
630,Al,0.015694,1.0075,0.024501
631,Al,0.015896,1.0078,0.024757
632,Al,0.016102,1.0095,0.02518
633,Al,0.016314,1.0106,0.023853
634,Al,0.016422,1.011,0.023955
635,Al,0.016531,1.0118,0.02402
636,Al,0.016642,1.0132,0.024343
637,Al,0.016755,1.0151,0.024184
638,Al,0.016777,1.0156,0.024228
639,Al,0.0168,1.0161,0.024282
640,Al,0.016823,1.0167,0.024375
641,Al,0.016846,1.0173,0.024499
642,Al,0.016869,1.0181,0.024831
643,Al,0.016892,1.0194,0.025432
644,Al,0.016915,1.0219,0.026018
645,Al,0.016938,1.0259,0.024227
646,Al,0.016961,1.0262,0.019564
647,Al,0.016984,1.0246,0.019145
648,Al,0.017008,1.0255,0.020012
649,Al,0.017031,1.0305,0.020072
650,Al,0.017054,1.0349,0.012476
651,Al,0.017078,1.0305,0.0041164
652,Al,0.017101,1.0249,0.0036218
653,Al,0.017125,1.0226,0.0034141
654,Al,0.017149,1.0206,0.00344
655,Al,0.017172,1.0192,0.0034767
656,Al,0.017196,1.0179,0.0034877
657,Al,0.017208,1.0174,0.0035108
658,Al,0.01722,1.0169,0.0035249
659,Al,0.017463,1.0108,0.0034957
660,Al,0.017712,1.007,0.0035425
661,Al,0.018233,1.0019,0.003673
662,Al,0.018786,0.99791,0.0038926
663,Al,0.019373,0.99457,0.0041092
664,Al,0.019998,0.99143,0.0042397
665,Al,0.020664,0.98827,0.0043696
666,Al,0.022543,0.97998,0.0050004
667,Al,0.024797,0.97048,0.0057469
668,Al,0.027552,0.95834,0.0066191
669,Al,0.030996,0.94189,0.0078466
670,Al,0.035424,0.91802,0.0093121
671,Al,0.041328,0.88013,0.011651
672,Al,0.049594,0.81512,0.015894
673,Al,0.061993,0.67912,0.02234
674,Al,0.065255,0.63242,0.02477
675,Al,0.068881,0.57251,0.027681
676,Al,0.072932,0.49131,0.032409
677,Al,0.077491,0.37197,0.044202
678,Al,0.078472,0.34031,0.04832
679,Al,0.079478,0.30373,0.053349
680,Al,0.07999,0.28271,0.056697
681,Al,0.08051,0.25936,0.061407
682,Al,0.081036,0.23344,0.068348
683,Al,0.081569,0.20569,0.079959
684,Al,0.082109,0.17943,0.094223
685,Al,0.082657,0.15065,0.11041
686,Al,0.083774,0.094517,0.16589
687,Al,0.084921,0.067041,0.2342
688,Al,0.086101,0.054863,0.29293
689,Al,0.088561,0.044168,0.39115
690,Al,0.095373,0.036437,0.59086
691,Al,0.10332,0.035753,0.77163
692,Al,0.11271,0.038468,0.95677
693,Al,0.12399,0.046304,1.1555
694,Al,0.13776,0.057167,1.3775
695,Al,0.15498,0.072505,1.6366
696,Al,0.17712,0.094236,1.9519
697,Al,0.20664,0.12677,2.3563
698,Al,0.24797,0.18137,2.9029
699,Al,0.30996,0.28003,3.7081
